"X1","X3","X4","X5","X6","X7","X8","Sum","Avg"
"AAVILANI",2.61538461538462,3.18518518518519,4.4,4.6,4.56,4.6,18.16,4.54
"ABELMB",2.76923076923077,3.18518518518519,4.75,4.70833333333333,4.70833333333333,4.66666666666667,18.8333333333333,4.70833333333333
"ALLISAS1",1.84615384615385,2.2962962962963,3.92,4.04,4,4.08,16.04,4.01
"ANTOINDN",2.5,2.81481481481481,4.36,4.48,4.36,4.48,17.68,4.42
"AVILAE4",2.19230769230769,2.62962962962963,4.04,4.24,4.04,4.16,16.48,4.12
"AYNA",2.08,2.84615384615385,4.29166666666667,4.41666666666667,4.29166666666667,4.5,17.5,4.375
"BRYANQV",4,4.51851851851852,4.57692307692308,4.80769230769231,4.76923076923077,4.80769230769231,18.9615384615385,4.74038461538461
"CHENGE17",1.96,2.42307692307692,4,4.04166666666667,4.125,4.20833333333333,16.375,4.09375
"CTRAN19",2.42307692307692,2.85185185185185,4.24,4.44,4.24,4.28,17.2,4.3
"DDLUGOPO",2.36,3.07692307692308,4.66666666666667,4.625,4.54166666666667,4.625,18.4583333333333,4.61458333333333
"EDTRINH",3.48,3.92307692307692,4.69230769230769,4.76923076923077,4.73076923076923,4.69230769230769,18.8846153846154,4.72115384615385
"HAILEYC2",2.92307692307692,3.03703703703704,4.48,4.44,4.4,4.32,17.64,4.41
"HKABUASB",3.64,4.11538461538461,4.65384615384615,4.69230769230769,4.84615384615385,4.69230769230769,18.8846153846154,4.72115384615385
"LKHALEK",3.48,3.73076923076923,4.44,4.56,4.72,4.68,18.4,4.6
"MAJEMYAN",2.96296296296296,2.88888888888889,4.5,4.57692307692308,4.42307692307692,4.42307692307692,17.9230769230769,4.48076923076923
"MKANNAN2",3.64,4.03846153846154,4.76,4.84,4.84,4.64,19.08,4.77
"PHILLILW",1.84615384615385,2.11538461538462,3.875,3.95833333333333,4,4.125,15.9583333333333,3.98958333333333
"PHIVANN",2.12,2.57692307692308,4.08333333333333,4.20833333333333,4.08333333333333,4.08333333333333,16.4583333333333,4.11458333333333
"PMIYENGA",2.80769230769231,2.74074074074074,4.4,4.32,4.36,4.48,17.56,4.39
"PWIRYADI",3.72,4.53846153846154,4.61538461538461,4.80769230769231,4.65384615384615,4.73076923076923,18.8076923076923,4.70192307692308
"QISENL1",2.23076923076923,2.51851851851852,4.08,4.24,4.08,4.16,16.56,4.14
"RDMARES",2.56,3.15384615384615,4.58333333333333,4.70833333333333,4.625,4.54166666666667,18.4583333333333,4.61458333333333
"RICHIEL2",3.26923076923077,3.44444444444444,4.54166666666667,4.70833333333333,4.75,4.66666666666667,18.6666666666667,4.66666666666667
"SOVITN",2.03846153846154,2.22222222222222,3.95833333333333,4.08333333333333,4.16666666666667,4.29166666666667,16.5,4.125
"SYLIEM",1.84615384615385,2.03703703703704,3.88,3.84,4.04,4.08,15.84,3.96
"TRANNN8",2.03846153846154,2.33333333333333,4.04,4.08,4.08,4.12,16.32,4.08
"YIFIW",1.96153846153846,2.81481481481481,4.16,4.16,4.08,4.28,16.68,4.17
